nombre,tipo,zona,precio,contacto,facebook,instagram,tiktok
Arepísima Gourmet,comida rápida,sur,media,+57 315 442 9971,https://facebook.com/arepisimacali,https://instagram.com/arepisimacali,https://tiktok.com/@arepisimacali
La Cazuela de Doña Lucha,comida típica,centro,baja,+57 312 888 2012,https://facebook.com/donaluchacali,https://instagram.com/donaluchacali,https://tiktok.com/@donaluchacali
Bambú Sushi Bar,comida japonesa,norte,alta,+57 316 778 0054,https://facebook.com/bambusushi,https://instagram.com/bambusushi.cali,https://tiktok.com/@bambusushicali
El Rincón Mexa,comida mexicana,sur,media,+57 314 229 3366,https://facebook.com/elrinconmexa,https://instagram.com/elrinconmexa,https://tiktok.com/@elrinconmexa
La Pizzeria del Parque,comida italiana,oeste,media,+57 318 557 4400,https://facebook.com/pizzeriadelparque,https://instagram.com/pizzeriadelparque,https://tiktok.com/@pizzeriadelparque
Postres Anita,postres,norte,baja,+57 300 771 0088,https://facebook.com/postresanita,https://instagram.com/postresanita,https://tiktok.com/@postresanita
Café Aroma, cafetería,centro,media,+57 301 456 3322,https://facebook.com/cafearoma,https://instagram.com/cafearomacali,https://tiktok.com/@cafearoma
Hamburguesas Don Pepe,comida rápida,oriente,media,+57 305 991 7777,https://facebook.com/hamburguesasdonpepe,https://instagram.com/hamburguesasdonpepe,https://tiktok.com/@donpepeburgers
Papas & Salsa,comida rápida,sur,baja,+57 310 922 6600,https://facebook.com/papassalsa,https://instagram.com/papassalsa.cali,https://tiktok.com/@papassalsa
La Trattoria de Nonna,comida italiana,norte,alta,+57 302 711 0090,https://facebook.com/trattorianonna,https://instagram.com/trattorianonna,https://tiktok.com/@trattorianonna
Tamalitos del Valle,comida típica,oriente,baja,+57 319 552 4433,https://facebook.com/tamalitosdelvalle,https://instagram.com/tamalitosdelvalle,https://tiktok.com/@tamalitosvalle
ChocoLatte House,postres y café,sur,media,+57 311 008 7654,https://facebook.com/chocolattehouse,https://instagram.com/chocolattehouse,https://tiktok.com/@chocolattehouse
Taquitos & Más,comida mexicana,oeste,baja,+57 320 922 8876,https://facebook.com/taquitosymas,https://instagram.com/taquitosymas,https://tiktok.com/@taquitosymas
Pekín Wok,comida china,norte,media,+57 312 991 8844,https://facebook.com/pekinwok,https://instagram.com/pekinwok.cali,https://tiktok.com/@pekinwokcali
Empanadas El Portal,comida rápida,centro,baja,+57 314 229 6645,https://facebook.com/empanadaselportal,https://instagram.com/empanadaselportal,https://tiktok.com/@empanadaselportal
Green Bowl,comida saludable,oeste,media,+57 315 777 0021,https://facebook.com/greenbowlcali,https://instagram.com/greenbowl.cali,https://tiktok.com/@greenbowlcali
Juice & Joy, jugos naturales,centro,baja,+57 301 883 2244,https://facebook.com/juicejoycali,https://instagram.com/juicejoy.cali,https://tiktok.com/@juicejoycali
Choripán de Juanelo,comida rápida,norte - diagonal a la Clínica de Occidente,"$10.000 - $14.000",,https://www.facebook.com/eljurry/videos/conocimos-a-juanelo-el-chico-de-los-choripanes/1932242394208749/,https://www.instagram.com/loschoripanesjuanelo/,https://www.tiktok.com/@loschoripanesjuanelo
Arepísima Gourmet,comida rápida,sur - Ciudad Jardín,media,+57 315 442 9971,https://facebook.com/arepisimacali,https://instagram.com/arepisimacali,https://tiktok.com/@arepisimacali
El Rincón Mexicano,mexicana,sur - Limonar,media,+57 310 123 4567,https://facebook.com/elrinconmexicano,https://instagram.com/elrinconmexicano,https://tiktok.com/@elrinconmexicano
Pizzería Don Mario,italiana,norte - Granada,alta,+57 317 111 2233,https://facebook.com/pizzeriadonmario,https://instagram.com/pizzeriadonmario,https://tiktok.com/@pizzeriadonmario
Postres La Dulzura,postres,oeste - Normandía,baja,+57 315 998 8776,https://facebook.com/postresdulzura,https://instagram.com/postresladulzura,https://tiktok.com/@postresladulzura
Café La Sucursal,cafetería,centro - San Antonio,media,+57 301 987 6543,https://facebook.com/cafelasucursal,https://instagram.com/cafelasucursal,https://tiktok.com/@cafelasucursal